Дата,Средняя температура,Город
04.03.2016,6.3,Paris
05.03.2016,4.2,Paris
06.03.2016,5.3,Paris
07.03.2016,4.1,Paris
08.03.2016,5.7,Paris
09.03.2016,6.2,Paris
10.03.2016,7.2,Paris
11.03.2016,8.3,Paris
12.03.2016,7.8,Paris
13.03.2016,6.8,Paris
14.03.2016,6.3,Paris
15.03.2016,7.8,Paris
16.03.2016,6.6,Paris
17.03.2016,7.8,Paris
18.03.2016,6.8,Paris
19.03.2016,5.9,Paris
20.03.2016,6.1,Paris
21.03.2016,8.0,Paris
22.03.2016,9.6,Paris
23.03.2016,8.8,Paris
24.03.2016,9.3,Paris
25.03.2016,10.1,Paris
26.03.2016,11.4,Paris
27.03.2016,9.8,Paris
28.03.2016,10.6,Paris
29.03.2016,9.9,Paris
30.03.2016,8.9,Paris
31.03.2016,6.8,Paris
01.04.2016,8.2,Paris
02.04.2016,7.3,Paris
03.04.2016,14.9,Paris
04.04.2016,13.1,Paris
05.04.2016,12.8,Paris
06.04.2016,10.9,Paris
07.04.2016,8.6,Paris
08.04.2016,9.6,Paris
09.04.2016,8.8,Paris
10.04.2016,11.6,Paris
11.04.2016,11.9,Paris
12.04.2016,11.4,Paris
13.04.2016,12.9,Paris
14.04.2016,12.3,Paris
15.04.2016,12.6,Paris
16.04.2016,11.5,Paris
17.04.2016,7.8,Paris
18.04.2016,9.8,Paris
19.04.2016,11.9,Paris
20.04.2016,14.0,Paris
21.04.2016,16.3,Paris
22.04.2016,14.8,Paris
23.04.2016,9.4,Paris
24.04.2016,6.4,Paris
25.04.2016,7.9,Paris
26.04.2016,6.2,Paris
27.04.2016,6.2,Paris
28.04.2016,8.1,Paris
29.04.2016,9.8,Paris
30.04.2016,8.3,Paris
01.05.2016,10.7,Paris
02.05.2016,13.3,Paris
03.05.2016,12.7,Paris
04.05.2016,13.7,Paris
05.05.2016,15.8,Paris
06.05.2016,18.4,Paris
07.05.2016,19.0,Paris
08.05.2016,20.4,Paris
09.05.2016,18.4,Paris
10.05.2016,16.1,Paris
11.05.2016,15.4,Paris
12.05.2016,16.1,Paris
13.05.2016,16.9,Paris
14.05.2016,11.1,Paris
15.05.2016,11.4,Paris
16.05.2016,13.5,Paris
17.05.2016,14.2,Paris
18.05.2016,13.8,Paris
19.05.2016,12.6,Paris
20.05.2016,16.1,Paris
21.05.2016,19.2,Paris
22.05.2016,14.7,Paris
23.05.2016,12.6,Paris
24.05.2016,12.3,Paris
25.05.2016,14.5,Paris
26.05.2016,17.3,Paris
27.05.2016,19.7,Paris
28.05.2016,18.2,Paris
29.05.2016,16.2,Paris
30.05.2016,13.4,Paris
31.05.2016,13.3,Paris
01.06.2016,14.8,Paris
02.06.2016,13.0,Paris
03.06.2016,12.4,Paris
04.06.2016,14.9,Paris
05.06.2016,16.2,Paris
06.06.2016,18.9,Paris
07.06.2016,21.7,Paris
08.06.2016,19.7,Paris
09.06.2016,18.7,Paris
10.06.2016,20.1,Paris
11.06.2016,18.8,Paris
12.06.2016,17.3,Paris
13.06.2016,15.9,Paris
14.06.2016,16.2,Paris
15.06.2016,15.8,Paris
16.06.2016,15.4,Paris
17.06.2016,16.3,Paris
18.06.2016,16.2,Paris
19.06.2016,17.7,Paris
20.06.2016,16.3,Paris
21.06.2016,19.3,Paris
22.06.2016,23.4,Paris
23.06.2016,25.9,Paris
24.06.2016,21.0,Paris
25.06.2016,17.8,Paris
26.06.2016,17.0,Paris
27.06.2016,18.1,Paris
28.06.2016,18.9,Paris
29.06.2016,18.9,Paris
30.06.2016,19.3,Paris
01.07.2016,18.9,Paris
02.07.2016,16.7,Paris
03.07.2016,16.1,Paris
04.07.2016,18.1,Paris
05.07.2016,18.8,Paris
06.07.2016,18.8,Paris
07.07.2016,22.2,Paris
08.07.2016,22.8,Paris
09.07.2016,23.1,Paris
10.07.2016,25.1,Paris
11.07.2016,20.0,Paris
12.07.2016,17.4,Paris
13.07.2016,16.0,Paris
14.07.2016,16.4,Paris
15.07.2016,18.6,Paris
16.07.2016,21.2,Paris
17.07.2016,23.6,Paris
18.07.2016,25.7,Paris
19.07.2016,28.9,Paris
20.07.2016,26.4,Paris
21.07.2016,22.1,Paris
22.07.2016,22.4,Paris
23.07.2016,22.2,Paris
